# path_seg_number, u, x (m), y (m), heading (deg), radius of curvature (m), flag_to_identify_given_pose
10 ,  0.65 ,  368937.01718946337 ,  3280366.14555953 ,  -36.85279457232087 ,  -10.761133957379881 ,  0
10 ,  0.7000000000000001 ,  368937.2999296491 ,  3280365.9254002357 ,  -39.0682124524799 ,  -8.03038338714 ,  0
10 ,  0.75 ,  368937.56162756286 ,  3280365.702506303 ,  -41.914091684819105 ,  -5.991227216870193 ,  0
10 ,  0.8 ,  368937.79821226036 ,  3280365.476877244 ,  -45.55115201513216 ,  -4.4444831211674805 ,  0
10 ,  0.8500000000000001 ,  368938.00561279716 ,  3280365.2485125717 ,  -50.193309261212995 ,  -3.2760301731032624 ,  0
10 ,  0.9 ,  368938.179758229 ,  3280365.0174117987 ,  -56.108792586312056 ,  -2.4124105376206013 ,  0
10 ,  0.9500000000000001 ,  368938.3165776113 ,  3280364.783574437 ,  -63.59175421053527 ,  -1.8008829279256466 ,  0
11 ,  0.0 ,  368938.412 ,  3280364.547 ,  -72.86348150956314 ,  -3.081592687779894 ,  1
11 ,  0.05 ,  368938.49843259103 ,  3280364.2056887876 ,  -78.40908791394483 ,  -4.291649408359007 ,  0
11 ,  0.1 ,  368938.5602228635 ,  3280363.827457779 ,  -82.81713094710898 ,  -5.768854735630634 ,  0
11 ,  0.15000000000000002 ,  368938.59838431614 ,  3280363.416741172 ,  -86.41128602387836 ,  -7.471031706549064 ,  0
11 ,  0.2 ,  368938.6139304479 ,  3280362.9779731636 ,  -89.41904532414017 ,  -9.327157153006727 ,  0
11 ,  0.25 ,  368938.6078747575 ,  3280362.5155879525 ,  -92.00135230280844 ,  -11.239571272893546 ,  0
11 ,  0.30000000000000004 ,  368938.5812307441 ,  3280362.034019736 ,  -94.27451810789474 ,  -13.089778238796267 ,  0
11 ,  0.35000000000000003 ,  368938.5350119064 ,  3280361.537702713 ,  -96.32519521552011 ,  -14.74802538932735 ,  0
11 ,  0.4 ,  368938.4702317434 ,  3280361.03107108 ,  -98.22046550913996 ,  -16.086198093715574 ,  0
11 ,  0.45 ,  368938.3879037539 ,  3280360.5185590363 ,  -100.01476279165395 ,  -16.99266247975568 ,  0
11 ,  0.5 ,  368938.2890414366 ,  3280360.004600778 ,  -101.75483783556388 ,  -17.386808119233702 ,  0
11 ,  0.55 ,  368938.17465829075 ,  3280359.4936305056 ,  -103.48359178457042 ,  -17.230562971714157 ,  0
11 ,  0.6000000000000001 ,  368938.045767815 ,  3280358.990082415 ,  -105.24337214026988 ,  -16.53439439122293 ,  0
11 ,  0.65 ,  368937.90338350827 ,  3280358.4983907044 ,  -107.0792169594975 ,  -15.356347300180149 ,  0
11 ,  0.7000000000000001 ,  368937.7485188695 ,  3280358.0229895716 ,  -109.04252884257757 ,  -13.794227341167995 ,  0
11 ,  0.75 ,  368937.5821873974 ,  3280357.568313215 ,  -111.19576325956655 ,  -11.972579707914708 ,  0
11 ,  0.8 ,  368937.4054025911 ,  3280357.138795833 ,  -113.61895506386368 ,  -10.027108197365722 ,  0
11 ,  0.8500000000000001 ,  368937.2191779493 ,  3280356.738871622 ,  -116.41933929504842 ,  -8.089351486833618 ,  0
11 ,  0.9 ,  368937.0245269709 ,  3280356.3729747813 ,  -119.74601508387296 ,  -6.273870488702562 ,  0
11 ,  0.9500000000000001 ,  368936.82246315485 ,  3280356.0455395076 ,  -123.81250488030129 ,  -4.6692476776671095 ,  0
12 ,  0.0 ,  368936.614 ,  3280355.761 ,  -128.93042391157167 ,  -4.529926673740571 ,  1
12 ,  0.05 ,  368936.4791538691 ,  3280355.6009487426 ,  -131.17907114032354 ,  -6.24112676445361 ,  0
12 ,  0.1 ,  368936.3263593562 ,  3280355.4320360622 ,  -133.0031482646194 ,  -8.155923818131454 ,  0
12 ,  0.15000000000000002 ,  368936.15727621125 ,  3280355.255702042 ,  -134.53512367450105 ,  -10.181117609699537 ,  0
12 ,  0.2 ,  368935.9735641846 ,  3280355.0733867665 ,  -135.8620975267842 ,  -12.202797850440271 ,  0
12 ,  0.25 ,  368935.7768830263 ,  3280354.8865303183 ,  -137.04422604756746 ,  -14.09599917462926 ,  0
